#NAME	ID	DESCRIPTION	NOT FILTERED	B/W ONLY
LZW	5	Lempel-Ziv & Welch	1	0
ADOBEDEFLATE	8	Deflate compression (as recognized by Adobe)	1	0
DEFLATE	32946	Deflate compression (legacy libtiff)	0	0
DCS	32947	Kodak DCS encoding	0	0
JBIG	34661	ISO JBIG	0	0
SGILOG	34676	SGI Log	0	0
LZMA	34925	LZMA2	0	0
OJPEG	6	!6.0 JPEG [Old-style JPEG]	0	0
JPEG	7	%JPEG DCT compression	1	0
NEXT	32766	NeXT 2-bit RLE	0	0
PACKBITS	32773	Macintosh RLE	1	0
THUNDERSCAN	32809	ThunderScan RLE	0	0
PIXARLOG	32909	Pixar companded 11bit ZIP	0	0
CCITTRLE	2	CCITT modified Huffman RLE	0	1
CCITTRLEW	32771	#1 w/ word alignment	0	1
CCITTFAX3	3	CCITT Group 3 fax encoding [CCITT T.4 (TIFF 6 name)]	0	1
CCITTFAX4	4	CCITT Group 4 fax encoding [CCITT T.6 (TIFF 6 name)]	1	1
NONE	1	dump mode	1	0
